lambda,measure,auc_mean,auc_std,gap_mean,gap_std,dep_mean,dep_std,n_seeds,auc_test_mean,auc_test_std,gap_test_mean,gap_test_std,dtpr_test_mean,dfpr_test_mean
0.0,corr2,0.738889715546016,0.0012512314579103097,5.60594113667806,0.4103341906270856,0.021105792994300526,0.00181711017369032,3,0.7404365804748748,0.0003428314013319451,5.615492820739746,0.43437275995156743,8.282323877607256,11.076079225138182
0.5,corr2,0.7384961562470124,0.0006192361968002921,3.6056469281514487,0.12624588521171862,0.009198981647690138,0.0008373621409827725,3,0.740897056265711,0.0010086995567456978,3.6045302549997964,0.1473301281239251,5.235381386009001,7.49186209161969
1.0,corr2,0.7367491759984772,0.0004152320490999894,2.814287026723226,0.23527582170591657,0.0056566703133285046,0.000993402082998254,3,0.739353922656051,0.0009468070924130136,2.8282055854797363,0.26718816176787547,4.429475825443874,6.153313258088353
2.0,corr2,0.735264198140138,0.0006404031952434577,2.180554429690043,0.1773596202159543,0.0034455116062114635,0.0005615541308835579,3,0.7372658362091077,0.0012664044882937555,2.1850387255350747,0.21703286767537053,3.6058372688269986,4.629436151629846
5.0,corr2,0.7317774075637321,0.0018505153074320924,1.5394200881322224,0.259465150217138,0.0018020819795007508,0.0006134097349687027,3,0.7344830469582778,0.00012320364617206784,1.5682170788447063,0.28313604288274197,1.8170114404424027,3.349368620782222
10.0,corr2,0.72862976383968,0.0019486615645801517,1.295385758082072,0.21459000908822948,0.0013119601838601132,0.0005521977937726784,3,0.7309151071100723,1.868003168517847e-05,1.281966765721639,0.24112717964719393,1.0617828419273907,2.3978881701724464
0.0,mmd,0.738889715546016,0.0012512314579103,5.60594113667806,0.4103341906270856,,,3,0.7404365804748748,0.0003428314013319,5.615492820739746,0.4343727599515674,8.282323877607256,11.076079225138182
1.0,mmd,0.7363615432568903,0.0011646618196637,3.1402816772460938,0.0713902641172253,,,3,0.7388243489517268,0.0004299480700799,3.1181315581003823,0.1101193034590259,4.120685254196096,5.648015891111764
2.0,mmd,0.7345524011788823,0.0013363186938355,2.5433758894602456,0.170109061072137,,,3,0.7377999251787397,0.0004411901737277,2.5439520676930747,0.1733713076343429,2.992521897048332,4.055066512677826
5.0,mmd,0.730750327247296,0.0026258153634863,1.755283276240031,0.1884548292874455,,,3,0.7333370339932731,0.0007938223951772,1.757157842318217,0.1951114158979784,1.30754246387567,2.9370704952221813
10.0,mmd,0.723184014357793,0.0036136834249808,0.9271085262298584,0.3088568273666338,,,3,0.7264417330786411,0.0019765275809356,0.896147886912028,0.2938146104147094,0.7367074693054162,1.91008228840397
20.0,mmd,0.7156362695890509,0.0017361520147885,0.2282689015070597,0.0843677531129131,,,3,0.7176659582069744,0.0010057012902897,0.1806517442067464,0.0830535688213825,-1.4975515165701558,0.4494749503475799
0.0,hsic,0.738889715546016,0.0012512314579103,5.60594113667806,0.4103341906270856,,,3,0.7404365804748748,0.0003428314013319,5.615492820739746,0.4343727599515674,8.282323877607256,11.076079225138182
5.0,hsic,0.738050935099512,0.001250660064813,4.056535085042317,0.1104338342746364,,,3,0.7409933597609131,0.0003308974696878,4.070094267527263,0.110059075037016,5.522537702073649,7.541427824566011
10.0,hsic,0.7372582424766221,0.0006511515713341,3.4518659114837646,0.1134835673918519,,,3,0.7396464111569432,0.0002467233909034,3.4201740423838296,0.1619884109939169,4.524041952722058,5.937532630370039
20.0,hsic,0.735150009263795,0.001508177623557,2.728397687276205,0.0292550696356544,,,3,0.7375771552028366,0.0004030251211526,2.682654062906901,0.0452820530762567,2.710123934924239,4.476094562585949
50.0,hsic,0.7298531150610629,0.0018762636619051,1.9722342491149905,0.1051166738540268,,,3,0.733080659171149,0.0017607176841927,1.9368369976679485,0.103157917091276,1.2108188220778526,3.5923749294950285
